,resetting_rate,speedup
28,500.0,1.3470080638610995
76,20.0,3.4911311556406255
81,333.3333333333333,2.0548329250369224
94,2.0,1.611273107916906
98,10.0,2.892705552044705
153,200.0,3.152851451220719
203,inf,1.0
208,50.0,4.094714415657196
219,1.0,1.36223341747011
221,5.0,2.2424046614286874
270,100.0,3.848694945764696
