,x,V_blue,V_dashed,V_dotted
0,-10.0,11.990335795503606,11.996377125154307,11.99330396997373
1,-9.95,11.634805907778782,11.640847237429488,11.63777408224891
2,-9.9,11.288097588315603,11.294138917966308,11.291065762785731
3,-9.85,10.950034853465292,10.956076183115995,10.953003027935418
4,-9.8,10.62044436587161,10.626485695522314,10.623412540341738
5,-9.75,10.299155407808291,10.305196737458994,10.30212358227842
6,-9.7,9.9859998546516,9.992041184302307,9.988968029121729
7,-9.65,9.680812148487798,9.6868534781385,9.683780322957924
8,-9.6,9.383429271855602,9.389470601506305,9.386397446325729
9,-9.55,9.093690721623796,9.099732051274499,9.096658896093924
10,-9.5,8.811438483003602,8.817479812654305,8.814406657473729
11,-9.45,8.53651700369629,8.542558333346994,8.539485178166416
12,-9.4,8.268773168175606,8.274814497826313,8.271741342645734
13,-9.35,8.008056272105287,8.014097601755992,8.011024446575416
14,-9.3,7.754217996891606,7.76025932654231,7.757186171361733
15,-9.25,7.507112384370794,7.513153714021498,7.5100805588409205
16,-9.2,7.2665958116316,7.2726371412823045,7.269563986101727
17,-9.15,7.032526965972792,7.038568295623498,7.0354951404429205
18,-9.1,6.804766819995601,6.810808149646305,6.8077349944657275
19,-9.05,6.583178606831291,6.589219936481996,6.586146781301419
20,-9.0,6.367627795503605,6.373669125154309,6.370595969973732
21,-8.95,6.157982066426289,6.164023396076992,6.160950240896415
22,-8.9,5.954111287035605,5.960152616686309,5.957079461505731
23,-8.85,5.755887487557793,5.761928817208496,5.758855662027918
24,-8.8,5.563184836911608,5.569226166562313,5.5661530113817355
25,-8.75,5.375879618745792,5.381920948396496,5.378847793215918
26,-8.7,5.1938502076116,5.199891537262304,5.1968183820817275
27,-8.65,5.016977045270291,5.023018374920995,5.019945219740418
28,-8.6,4.845142617135604,4.851183946786307,4.84811079160573
29,-8.55,4.678231428851294,4.684272758501999,4.6811996033214225
30,-8.5,4.516129983003603,4.522171312654307,4.51909815747373
31,-8.45,4.358726755968791,4.364768085619494,4.361694930438918
32,-8.4,4.205912174895607,4.211953504546311,4.208880349365733
33,-8.35,4.05757859482279,4.063619924473495,4.060546769292918
34,-8.3,3.9136202759316046,3.9196616055823097,3.916588450401733
35,-8.25,3.77393336093329,3.7799746905839946,3.7769015354034177
36,-8.2,3.638415852591603,3.6444571822423066,3.64138402706173
37,-8.15,3.5069675913802936,3.5130089210309974,3.5099357658504204
38,-8.1,3.379490233275602,3.3855315629263063,3.38245840774573
39,-8.05,3.2558872276837914,3.2619285573344965,3.2588554021539196
40,-8.0,3.136063795503606,3.1421051251543086,3.139031969973732
41,-7.949999999999999,3.019926907323791,3.0259682369744936,3.0228950817939166
42,-7.9,2.9073852617556053,2.913426591406308,2.9103534362257313
43,-7.85,2.79834926390029,2.8043905935509934,2.8013174383704165
44,-7.8,2.6927310039516046,2.698772333602308,2.6956991784217315
45,-7.75,2.590444235933292,2.596485565583995,2.5934124104034186
46,-7.699999999999999,2.4914043565716018,2.4974456862223056,2.494372531041729
47,-7.65,2.395528384302792,2.4015697139534953,2.398496558772919
48,-7.6,2.302734938415604,2.3087762680663078,2.305703112885731
49,-7.55,2.212944218328791,2.218985547979495,2.2159123927989186
50,-7.5,2.1260779830036034,2.132119312654307,2.1290461574737307
51,-7.449999999999999,2.042059530491289,2.048100860141993,2.045027704961416
52,-7.4,1.9608136776156035,1.966855007266307,1.9637818520857306
53,-7.35,1.8822667397902908,1.8883080694409946,1.885234914260418
54,-7.3,1.8063465109716041,1.812387840622307,1.8093146854417304
55,-7.25,1.7329822437457905,1.7390235733964945,1.7359504182159178
56,-7.199999999999999,1.662104629551603,1.6681459592023071,1.6650728040217304
57,-7.15,1.593645779037793,1.5996871086884963,1.5966139535079196
58,-7.1,1.5275392025556025,1.533580532206307,1.5305073770257303
59,-7.05,1.4637197907862909,1.4697611204369947,1.466687965256418
60,-7.0,1.402123795503603,1.4081651251543073,1.4050919699737303
61,-6.949999999999999,1.3426888104712909,1.3487301401219947,1.345656984941418
62,-6.9,1.2853537524756042,1.2913950821263083,1.2883219269457316
63,-6.85,1.2300588424927907,1.2361001721434948,1.2330270169629178
64,-6.8,1.1767455869916033,1.182786916642307,1.1797137614617303
65,-6.75,1.125356759370792,1.1313980890214956,1.128324933840919
66,-6.699999999999999,1.0758363815316034,1.081877711182307,1.0788045560017303
67,-6.65,1.0281297055852914,1.0341710352359956,1.0310978800554187
68,-6.6,0.9821831956956029,0.988224525346307,0.9851513701657303
69,-6.55,0.9379445100562922,0.9439858397069955,0.9409126845264187
70,-6.5,0.8953624830036038,0.9014038126543079,0.8983306574737312
71,-6.449999999999999,0.8543871072637907,0.8604284369144946,0.8573552817339176
72,-6.4,0.8149695163356041,0.8210108459863078,0.8179376908057311
73,-6.35,0.7770619670077918,0.7831032966584952,0.7800301414779185
74,-6.3,0.7406178220116031,0.7466591516623078,0.743585996481731
75,-6.25,0.7055915328082909,0.7116328624589954,0.7085597072784183
76,-6.199999999999999,0.6719386225116031,0.6779799521623071,0.6749067969817302
77,-6.15,0.6396156689452912,0.6456569985959956,0.6425838434154184
78,-6.1,0.6085802878356041,0.6146216174863084,0.6115484623057309
79,-6.05,0.5787911161387926,0.5848324457894966,0.5817592906089186
80,-6.0,0.5502077955036064,0.5562491251543102,0.5531759699737314
81,-5.95,0.5227909558687962,0.5288322855195001,0.5257591303389194
82,-5.8999999999999995,0.49650219919561245,0.5025435288463166,0.49947037366573294
83,-5.85,0.4713040833353066,0.47734541298601146,0.47427225780542226
84,-5.8,0.4471601060316308,0.45320143568233695,0.4501282805017381
85,-5.75,0.42403468905834085,0.43007601870904744,0.42700286352843136
86,-5.7,0.4018931624916924,0.407934492142401,0.4048613369617544
87,-5.6499999999999995,0.3807017491179465,0.3867430787686591,0.3836699235879592
88,-5.6,0.3604275489758759,0.3664688786265956,0.3633957234458027
89,-5.55,0.3410385240342668,0.34707985368499816,0.3440066985040439
90,-5.5,0.32250348300443044,0.3285448126551823,0.3254716574739496
91,-5.45,0.30479206628772104,0.3108333959385073,0.3077602407567965
92,-5.3999999999999995,0.2878747310580634,0.29391606070890847,0.2908429055263809
