,time,survival_unbiased,survival_biased,survival_fitted
2848,0.17027625292800003,,-6.307837304418737e-05,-0.00038513179264447765
933,0.17115438100800004,,-6.36968081620854e-05,-0.00038523696693624484
5839,0.175602319112,,-6.431524366255668e-05,-0.0003857697009992671
6876,0.17751142256799998,,-6.493367954537964e-05,-0.00038599835625864
2108,0.17885350710999998,,-6.55521158107768e-05,-0.00038615909908694873
4661,0.18012391510799997,,-6.617055245863762e-05,-0.0003863112571428043
701,0.18152231929600002,,-6.678898948885153e-05,-0.00038647874543229976
3451,0.18229320338,,-6.740742690164107e-05,-0.00038657107500177356
7222,0.18275028210400002,,-6.802586469678465e-05,-0.00038662581978465144
4172,0.18484411442,,-6.864430287450479e-05,-0.0003868766002071548
184,0.18562690395599998,,-6.926274143457993e-05,-0.0003869703557047031
6302,0.18732686376,,-6.988118037723259e-05,-0.00038717396161651763
2300,0.18749935096199996,,-7.049961970235221e-05,-0.0003871946205838396
5527,0.19198347866399998,,-7.111805940982823e-05,-0.0003877316891117602
231,0.19238786528,,-7.173649949988319e-05,-0.0003877801229073609
6336,0.19258776188799998,,-7.23549399722955e-05,-0.0003878040647270702
775,0.19967901802199997,,-7.29733808272877e-05,-0.0003886533916744934
4704,0.20272034970399996,,-7.35918220646382e-05,-0.0003890176550581257
2375,0.20733227982,,-7.421026368456952e-05,-0.00038957003061093794
5913,0.20824396806200002,,-7.482870568697112e-05,-0.00038967922443738386
290,0.208425815784,,-7.544714807173243e-05,-0.00038970100452369067
3117,0.20920135624199998,,-7.6065590839076e-05,-0.0003897938917918064
312,0.215499821872,,-7.668403398878023e-05,-0.0003905482654155892
509,0.21751911435000001,,-7.730247752106765e-05,-0.00039079011812600975
2696,0.218155052736,,-7.79209214357167e-05,-0.0003908662851122142
468,0.21879393610800002,,-7.853936573294987e-05,-0.0003909428048223821
411,0.221432029438,,-7.915781041265663e-05,-0.000391258771939159
2937,0.221784603824,,-7.977625547472642e-05,-0.0003913010001313639
1453,0.22211448932399996,,-8.039470091938177e-05,-0.000391340510852655
2840,0.234972006544,,-8.10131467464011e-05,-0.0003928804687452412
1853,0.23859908655599998,,-8.163159295600693e-05,-0.00039331488780110934
7430,0.23937789656,,-8.225003954797768e-05,-0.00039340816666606933
6489,0.24075817919999998,,-8.286848652253589e-05,-0.0003935734845193607
4324,0.24125022955600003,,-8.3486933879571e-05,-0.00039363241789011237
2281,0.24277172931000002,,-8.410538161897243e-05,-0.0003938146494605353
6186,0.24647288903999998,,-8.472382974096275e-05,-0.00039425794111944666
6506,0.24862688993999998,,-8.534227824532036e-05,-0.0003945159279943492
2435,0.249200758104,,-8.596072713226778e-05,-0.0003945846607670404
682,0.25271560832,,-8.657917640169447e-05,-0.00039500563794628676
1013,0.253488445896,,-8.719762605348986e-05,-0.000395098201487481
3778,0.25474102976,,-8.781607608787649e-05,-0.00039524822472870923
482,0.255129709536,,-8.843452650463277e-05,-0.0003952947773001348
1723,0.26443387362,,-8.905297730398123e-05,-0.00039640914647965145
589,0.2651697114,,-8.967142848570029e-05,-0.00039649727851771025
2165,0.27712738523400005,,-9.02898800500125e-05,-0.00039792946125428053
3655,0.28145910942,,-9.090833199680726e-05,-0.00039844827625834376
5390,0.2837892614,,-9.152678432597405e-05,-0.0003987273609269565
765,0.28615984407600004,,-9.214523703773538e-05,-0.00039901128802108133
3074,0.289136513412,,-9.276369013186968e-05,-0.000399367806729877
1271,0.2904645775,,-9.338214360859947e-05,-0.0003995268703141741
1078,0.29151281958400005,,-9.400059746770317e-05,-0.0003996524193329292
1873,0.29291554108999995,,-9.461905170940332e-05,-0.00039982042471198515
490,0.29714744746000005,,-9.523750633358935e-05,-0.00040032728443487395
4331,0.30134464035,,-9.585596134015071e-05,-0.00040082998648901613
1350,0.303628250978,,-9.647441672930993e-05,-0.0004011034968526431
4064,0.305935188064,,-9.709287250084543e-05,-0.0004013798010498297
6603,0.31055095680000006,,-9.771132865497974e-05,-0.000401932636358057
1626,0.31210138595600007,,-9.832978519149125e-05,-0.0004021183328323315
7020,0.31240802484,,-9.894824211060254e-05,-0.0004021550592828203
5493,0.31255466198,,-9.956669941220301e-05,-0.00040217262216196914
3873,0.31474925547000004,,-0.00010018515709618214,-0.0004024354708525925
6729,0.316846253856,,-0.00010080361516276242,-0.00040268663047851453
2587,0.317913988028,,-0.0001014220736117223,-0.00040281451408444096
7077,0.32031871502399994,,-0.0001020405324432843,-0.0004031025306784413
7328,0.33376554196799996,,-0.00010265899165722683,-0.00040471307079503884
5310,0.33423311715200005,,-0.00010327745125377242,-0.00040476907274958866
5387,0.336652276164,,-0.00010389591123281053,-0.0004050588178807992
5108,0.33735296964800005,,-0.00010451437159423059,-0.00040514274065084154
1657,0.33970846051600007,,-0.00010513283233825513,-0.0004054248601837984
6634,0.34008374883,,-0.00010575129346466258,-0.00040546980884622295
1714,0.3428505502759999,,-0.00010636975497367545,-0.0004058011914647396
6823,0.34434785294,,-0.0001069882168651832,-0.0004059805249251242
5994,0.345133305888,,-0.00010760667913907526,-0.0004060745994222321
671,0.34523608168000003,,-0.00010822514179557417,-0.00040608690898319546
930,0.348712097098,,-0.00010884360483445836,-0.0004065032348792537
6632,0.34884875417,,-0.00010946206825595033,-0.0004065196024355247
6755,0.35038958313,,-0.00011008053205982852,-0.0004067041490845765
3593,0.351725194692,,-0.00011069899624631545,-0.00040686411663749816
6413,0.35632574897999997,,-0.00011131746081530057,-0.00040741512969584017
2920,0.358278411136,,-0.00011193592576667331,-0.0004076490020249403
3488,0.358442806332,,-0.00011255439110065622,-0.0004076686918044873
7086,0.362345843904,,-0.00011317285681702771,-0.00040813616257751587
313,0.36324001425599994,,-0.0001137913229160103,-0.0004082432582684893
5439,0.363463968,,-0.00011440978939738242,-0.0004082700814358043
1516,0.36381683001599996,,-0.00011502825626136659,-0.00040831234407774636
103,0.36422259936000007,,-0.00011564672350785226,-0.0004083609434840836
1344,0.36770541645999993,,-0.00011626519113672887,-0.00040877808402450116
6144,0.36921572667999997,,-0.00011688365914821896,-0.00040895897541307535
2240,0.37002916041600004,,-0.00011750212754210093,-0.00040905640119757287
6044,0.3700906511,,-0.00011812059631859733,-0.0004090637659992314
5045,0.37317378008599994,,-0.00011873906547748655,-0.00040943303548840357
86,0.37359255014,,-0.00011935753501899115,-0.000409483192002978
3872,0.37461024763199996,,-0.00011997600494300056,-0.0004096050826649351
3146,0.37536940137600006,,-0.0001205944752494042,-0.0004096960072796765
469,0.378682062092,,-0.00012121294593842467,-0.00041009276801721057
1008,0.38031173838,,-0.00012183141700984031,-0.00041028795600094996
3794,0.38109848926400003,,-0.00012244988846387369,-0.0004103821859531705
113,0.38265265336199994,,-0.0001230683603003032,-0.00041056832976524066
1967,0.383888188576,,-0.0001236868325193514,-0.0004107163110723478
2089,0.39020937548000006,,-0.00012430530512090774,-0.0004114734060461881
906,0.391726580256,,-0.00012492377810486164,-0.00041165512320273494
5303,0.392404714786,,-0.0001255422514714356,-0.000411736344063951
4276,0.39294538844000004,,-0.0001261607252204081,-0.0004118011010964748
5077,0.394557450848,,-0.00012677919935200166,-0.0004119941794479219
756,0.395584069248,,-0.00012739767386599468,-0.0004121171385760882
2833,0.39703357995400007,,-0.00012801614876260965,-0.0004122907479451366
3570,0.39934700942400003,,-0.0001286346240417361,-0.00041256782974174707
6663,0.40195207017,,-0.0001292530997032634,-0.00041287984051239796
442,0.4033756896,,-0.00012987157574741412,-0.0004130503488570306
5219,0.405327468048,,-0.00013049005217396665,-0.00041328411534352627
3599,0.40637747156,,-0.00013110852898314356,-0.00041340987533030135
1071,0.40672902031999997,,-0.00013172700617483427,-0.0004134519806822389
872,0.41380995446999996,,-0.0001323454837489282,-0.0004143000713551577
3244,0.41382195331399996,,-0.00013296396170564792,-0.00041430150846888684
2295,0.41604494895000005,,-0.00013358244004477182,-0.0004145677589133753
7132,0.417890821216,,-0.00013420091876652245,-0.0004147888409089188
4307,0.420254973564,,-0.00013481939787067821,-0.0004150719978361299
5975,0.420794519124,,-0.00013543787735746166,-0.0004151366197556899
6979,0.42365972361599996,,-0.0001360563572267622,-0.0004154797882069415
6824,0.424067441964,,-0.0001366748374784693,-0.0004155286210474668
7299,0.42444214408,,-0.0001372933181128055,-0.0004155734995003617
6059,0.4276391981219999,,-0.00013791179912954918,-0.0004159564139091671
3201,0.429828430388,,-0.00013853028052892292,-0.00041621862048054833
526,0.431480978642,,-0.00013914876231070508,-0.00041641654786287905
3292,0.43379539992000005,,-0.00013976724447511824,-0.00041669374844934074
1702,0.434383635,,-0.00014038572702205183,-0.00041676420196214907
5856,0.4350085141500001,,-0.00014100420995139527,-0.00041683904437242854
