,$\phi_3$,V
0,-3.093248076923077,6.023597716142792
1,-2.9965842307692308,4.561960728045612
2,-2.8999203846153843,3.4128433945877594
3,-2.803256538461538,2.5859859767243876
4,-2.706592692307692,1.99483658859024
5,-2.609928846153846,1.6117311540586736
6,-2.5132649999999996,1.3774828138641924
7,-2.4166011538461536,1.2590702438199597
8,-2.3199373076923075,1.2281930891399677
9,-2.2232734615384615,1.2138325148367104
10,-2.126609615384615,1.1395073547993362
11,-2.029945769230769,1.083512813883631
12,-1.933281923076923,0.92585187319542
13,-1.8366180769230769,0.7588340154625149
14,-1.7399542307692304,0.5853445455518168
15,-1.6432903846153843,0.3449078056994318
16,-1.5466265384615383,0.13808693521377483
17,-1.4499626923076923,0.0
18,-1.3532988461538458,0.06370740709410698
19,-1.2566349999999997,0.38962844020605025
20,-1.1599711538461537,0.9274129033163995
21,-1.0633073076923074,1.7037613838911496
22,-0.9666434615384611,2.6175975925467894
23,-0.8699796153846151,3.8019683723488518
24,-0.7733157692307691,5.089920177012742
25,-0.676651923076923,6.643705387681838
26,-0.5799880769230767,8.301968281993329
27,-0.4833242307692305,10.028212008046184
28,-0.38666038461538443,11.718499175294792
29,-0.28999653846153817,13.220310781044963
30,-0.1933326923076919,14.437714838902192
31,-0.09666884615384586,15.160740522934683
32,-4.999999999810711e-06,15.321209278650638
33,0.09665884615384623,15.031427635614891
34,0.1933226923076925,14.210446490993542
35,0.28998653846153877,12.942076387531735
36,0.3866503846153848,11.479842977939821
37,0.4833142307692311,9.818274491956434
38,0.5799780769230773,8.1060511050077
39,0.6766419230769234,6.52211284712068
40,0.7733057692307694,5.233134506791276
41,0.8699696153846155,4.175789593471909
42,0.9666334615384615,3.567502448073026
43,1.063297307692308,3.4386677372396486
44,1.1599611538461545,3.8511082499997547
45,1.2566250000000005,4.706528947590461
46,1.3532888461538466,6.216868724054955
47,1.4499526923076926,8.187620000034743
48,1.5466165384615387,10.373557825005513
49,1.6432803846153847,12.785138274861591
50,1.7399442307692308,15.202025067666638
51,1.8366080769230768,17.25512562672018
52,1.9332719230769233,19.32772046033003
53,2.02993576923077,20.913310061339327
54,2.126599615384616,22.03702393737516
55,2.223263461538462,22.5927730462044
56,2.319927307692308,22.690400581955608
57,2.416591153846154,21.914702328960907
58,2.513255,20.560905064072063
59,2.6099188461538465,18.6003190994692
60,2.706582692307693,16.460147404365685
61,2.803246538461539,14.177296014864028
62,2.899910384615385,11.79881155381809
63,2.996574230769231,9.68315196818901
64,3.093238076923077,7.705682315507173
