,time,survival_unbiased,survival_biased
8299,42.86015173,,-0.005535719435606032
70,42.892596,-0.007125324942588627,
71,42.970762,-0.0072260450917395825,
72,43.820879999999995,-0.007326775386460855,
73,43.825688,-0.007427515828796584,
74,43.838626,-0.0075282664207915245,
8300,43.90301592,,-0.005636653071825992
75,43.9585,-0.007629027164491163,
76,44.025068,-0.0077297980619412685,
8301,44.295685038,,-0.0057375968966732575
8302,44.35341108,,-0.005838550912204993
77,44.389267999999994,-0.007830579115188564,
78,44.686034,-0.00793137032628028,
8303,44.70696011,,-0.0059395151204788745
79,44.932652000000004,-0.008032171697264267,
80,45.45005200000001,-0.008132983230188991,
8304,45.585827664,,-0.0060404895235535395
81,45.681414,-0.008233804927103542,
82,46.520635999999996,-0.008334636790057628,
8305,46.966106440000004,,-0.006141474123487912
8306,47.321851519999996,,-0.006242468922341649
83,47.848808,-0.008435478821101575,
8307,48.041129528,,-0.006343473922174926
84,48.381682,-0.008536331022286335,
85,48.612634,-0.008637193395663588,
8308,48.61863848,,-0.006444489125048873
86,49.064699999999995,-0.008738065943285299,
87,49.282044,-0.008838948667204392,
88,49.485876,-0.008939841569474296,
89,49.82029,-0.00904074465214907,
8309,49.854682476,,-0.0065455145330249095
90,49.89167,-0.009141657917283387,
91,50.299042,-0.009242581366932545,
8310,50.33247616,,-0.006646550148165195
92,50.394156,-0.009343515003152466,
8311,51.898534379999994,,-0.0067475959725323996
93,51.965406,-0.009444458827999689,
94,53.360664,-0.009545412843531385,
95,54.166985999999994,-0.00964637705180545,
96,54.225418,-0.009747351454880074,
8312,54.38736384,,-0.006848652008190155
97,54.393736,-0.009848336054814406,
98,54.550084000000005,-0.009949330853668103,
99,54.749198,-0.01005033585350145,
100,55.283072,-0.010151351056375355,
101,55.458066,-0.010252376464351353,
8313,56.47004214,,-0.006949718257202383
102,56.618233999999994,-0.010353412079491597,
103,58.163008000000005,-0.010454457903858873,
8314,58.17421702400001,,-0.007050794721633743
104,58.576418,-0.010555513939516587,
105,58.68463,-0.010656580188528888,
8315,60.156012684000004,,-0.00715188140354941
8316,60.224240664,,-0.007252978305015518
8317,60.799921728,,-0.007354085428098495
106,61.748163999999996,-0.010757656652960208,
107,61.96604,-0.010858743334875945,
8318,62.932951200000005,,-0.007455202774865393
8319,63.395255028,,-0.007556330347384231
108,63.757676,-0.010959840236342012,
109,63.846604,-0.011060947359424948,
8320,63.85690738800001,,-0.007657468147723315
110,63.89743,-0.011162064706191918,
111,64.673944,-0.011263192278710714,
112,65.146426,-0.011364330079049759,
8321,65.450091312,,-0.0077586161779516945
113,65.68737,-0.011465478109278096,
114,65.751338,-0.011566636371465405,
8322,65.769014892,,-0.007859774440138932
115,65.825722,-0.0116678048676821,
116,66.038576,-0.01176898359999889,
117,67.305508,-0.011870172570487445,
118,67.496424,-0.011971371781219958,
119,67.53554799999999,-0.012072581234269249,
120,67.565292,-0.012173800931708762,
121,67.804678,-0.012275030875612578,
122,68.112252,-0.012376271068055405,
8323,68.613302568,,-0.007960942936355554
123,68.913742,-0.01247752151111258,
8324,69.95069972,,-0.008062121668672385
8325,70.244857566,,-0.008163310639160981
8326,71.14430824,,-0.008264509849893424
124,71.40403,-0.012578782206860073,
8327,71.42460390000001,,-0.008365719302942753
125,71.45600999999999,-0.012680053157374483,
126,71.916696,-0.012781334364733152,
127,72.81818200000001,-0.012882625831013718,
8328,73.655614848,,-0.008466939000382308
