,Dev_from_opt_CV,speedup_MetaD,speedup_MetaD_SR
274,0.0,212.47264618465886,
247,0.05233595624294383,183.84887544472733,208.03118654737483
280,0.10452846326765346,124.81314346978156,202.97867199915774
185,0.15643446504023087,77.590883456114,196.98125348730085
2,0.20791169081775931,51.83835374180353,190.5918873837706
132,0.25881904510252074,32.421988396474006,179.97394631943425
7,0.3090169943749474,18.22443701273513,167.71693770966246
62,0.35836794954530027,10.818369685731996,157.2323000622391
38,0.40673664307580015,6.964486080022511,145.642742369589
