,x,y,V
0,-75.0,-15.0,7.8653829509795665
1,-75.0,-14.85,7.820607950979567
2,-75.0,-14.7,7.776282950979566
3,-75.0,-14.55,7.732407950979566
4,-75.0,-14.4,7.688982950979566
5,-75.0,-14.25,7.646007950979567
6,-75.0,-14.1,7.603482950979567
7,-75.0,-13.95,7.561407950979565
8,-75.0,-13.8,7.519782950979566
9,-75.0,-13.65,7.4786079509795655
10,-75.0,-13.5,7.437882950979565
11,-75.0,-13.35,7.397607950979566
12,-75.0,-13.2,7.357782950979566
13,-75.0,-13.05,7.318407950979567
14,-75.0,-12.9,7.279482950979566
15,-75.0,-12.75,7.241007950979567
16,-75.0,-12.6,7.202982950979567
17,-75.0,-12.45,7.165407950979566
18,-75.0,-12.3,7.128282950979566
19,-75.0,-12.15,7.091607950979567
20,-75.0,-12.0,7.055382950979565
21,-75.0,-11.85,7.019607950979566
22,-75.0,-11.7,6.984282950979566
23,-75.0,-11.55,6.949407950979567
24,-75.0,-11.4,6.9149829509795655
25,-75.0,-11.25,6.8810079509795665
26,-75.0,-11.1,6.8474829509795665
27,-75.0,-10.95,6.814407950979565
28,-75.0,-10.8,6.781782950979566
29,-75.0,-10.65,6.749607950979567
30,-75.0,-10.5,6.717882950979566
31,-75.0,-10.350000000000001,6.686607950979567
32,-75.0,-10.2,6.6557829509795665
33,-75.0,-10.05,6.625407950979567
34,-75.0,-9.9,6.595482950979567
35,-75.0,-9.75,6.566007950979567
36,-75.0,-9.600000000000001,6.536982950979567
37,-75.0,-9.45,6.508407950979566
38,-75.0,-9.3,6.480282950979568
39,-75.0,-9.15,6.4526079509795675
40,-75.0,-9.0,6.425382950979568
41,-75.0,-8.850000000000001,6.398607950979566
42,-75.0,-8.7,6.372282950979566
43,-75.0,-8.55,6.346407950979567
44,-75.0,-8.4,6.320982950979568
45,-75.0,-8.25,6.296007950979567
46,-75.0,-8.100000000000001,6.271482950979567
47,-75.0,-7.95,6.247407950979567
48,-75.0,-7.800000000000001,6.223782950979568
49,-75.0,-7.65,6.200607950979567
50,-75.0,-7.5,6.1778829509795665
51,-75.0,-7.3500000000000005,6.155607950979568
52,-75.0,-7.2,6.133782950979567
53,-75.0,-7.050000000000001,6.112407950979567
54,-75.0,-6.9,6.091482950979567
55,-75.0,-6.75,6.071007950979567
56,-75.0,-6.6,6.050982950979567
57,-75.0,-6.450000000000001,6.031407950979567
58,-75.0,-6.300000000000001,6.012282950979567
59,-75.0,-6.15,5.993607950979568
60,-75.0,-6.0,5.975382950979567
61,-75.0,-5.85,5.957607950979567
62,-75.0,-5.700000000000001,5.940282950979567
63,-75.0,-5.550000000000001,5.923407950979567
64,-75.0,-5.4,5.906982950979567
65,-75.0,-5.25,5.891007950979566
66,-75.0,-5.1,5.875482950979566
67,-75.0,-4.950000000000001,5.8604079509795675
68,-75.0,-4.800000000000001,5.845782950979568
69,-75.0,-4.65,5.831607950979566
70,-75.0,-4.5,5.817882950979567
71,-75.0,-4.35,5.804607950979568
72,-75.0,-4.200000000000001,5.7917829509795675
73,-75.0,-4.050000000000001,5.779407950979567
74,-75.0,-3.9000000000000004,5.767482950979566
75,-75.0,-3.75,5.756007950979567
76,-75.0,-3.5999999999999996,5.744982950979567
77,-75.0,-3.450000000000001,5.734407950979567
78,-75.0,-3.3000000000000007,5.724282950979568
79,-75.0,-3.1500000000000004,5.714607950979566
80,-75.0,-3.0,5.705382950979567
81,-75.0,-2.8499999999999996,5.696607950979567
82,-75.0,-2.700000000000001,5.688282950979567
83,-75.0,-2.5500000000000007,5.680407950979567
84,-75.0,-2.4000000000000004,5.672982950979567
85,-75.0,-2.25,5.666007950979567
86,-75.0,-2.0999999999999996,5.659482950979567
87,-75.0,-1.950000000000001,5.653407950979567
88,-75.0,-1.8000000000000007,5.647782950979567
89,-75.0,-1.6500000000000004,5.642607950979566
90,-75.0,-1.5,5.6378829509795665
91,-75.0,-1.3499999999999996,5.633607950979567
92,-75.0,-1.200000000000001,5.629782950979567
93,-75.0,-1.0500000000000007,5.6264079509795675
94,-75.0,-0.9000000000000004,5.623482950979566
95,-75.0,-0.75,5.621007950979567
96,-75.0,-0.6000000000000014,5.618982950979566
97,-75.0,-0.45000000000000107,5.617407950979567
98,-75.0,-0.3000000000000007,5.616282950979566
99,-75.0,-0.15000000000000036,5.615607950979568
