,resetting_rate,speedup_rapid_bias,speedup_slow_bias
0,500.0,2.8391952352245484,0.5481228131718596
1,200.0,6.116669306745445,1.2956686050592316
2,100.0,6.382282870243739,1.4658407635804782
3,50.0,5.326270967009938,1.5774058954827423
4,20.0,3.6921809098689513,1.3655780382951985
5,10.0,2.5528484073251723,1.1434220697688484
6,5.0,1.9159213138363886,1.044775251690762
7,2.0,1.3635048343205238,0.9065498334339298
8,1.0,1.1822643455133015,0.8437746070622137
9,0.5,1.0658928079734975,0.8683480147906057
10,125.0,6.431206480155744,
11,66.66666666666667,,1.6341195270690847
