,bias_deposition_rate,speedup_MetaD,speedup_MetaD_SR
74,10000.0,20.3206509487647,130.6863020626785
248,5000.0,18.56900916773269,72.73300206006391
101,2000.0,14.543621098601687,35.75850252773804
65,1000.0,11.68992304701636,20.66787280773776
264,500.0,8.858626785119464,13.036356475725883
182,200.0,6.237573519794947,7.2249729622985654
249,100.0,4.69913631955056,4.981279776122327
190,50.0,3.5272724084887814,4.292209358687659
121,20.0,2.4832429001497007,4.057915713590291
