,bias_deposition_rate,CV,speedup_MetaD,speedup_MetaD_SR
0,5000.0,$\phi_2$,258.1975554911919,355.61632160696075
1,2500.0,$\phi_2$,189.77740365465604,205.62847372165288
2,1000.0,$\phi_2$,105.19526326958366,105.19526326958366
3,500.0,$\phi_2$,65.44023582138817,65.44023582138817
4,5000.0,$\psi_2$,191.31975132300522,345.2003449870817
5,2500.0,$\psi_2$,150.25963787352518,221.1706351095063
6,1000.0,$\psi_2$,96.23339430374209,116.94967046732543
7,500.0,$\psi_2$,66.64224062256854,72.1526562954905
