,bias_deposition_rate,CV,speedup_MetaD,speedup_MetaD_SR
0,5000.0,"{$\phi_2$,$\phi_3$}",621.8488814935113,621.8488814935113
1,2500.0,"{$\phi_2$,$\phi_3$}",362.8133858683574,362.8133858683574
2,1000.0,"{$\phi_2$,$\phi_3$}",175.93323337253034,175.93323337253034
3,500.0,"{$\phi_2$,$\phi_3$}",102.74973218968626,102.74973218968626
4,5000.0,"{$\psi_2$,$\psi_3$}",689.3592900138623,689.3592900138623
5,2500.0,"{$\psi_2$,$\psi_3$}",462.93917174246036,462.93917174246036
6,1000.0,"{$\psi_2$,$\psi_3$}",281.53377745122276,281.53377745122276
7,500.0,"{$\psi_2$,$\psi_3$}",189.1074203721665,189.8768858439131
8,5000.0,$\phi_2$,2.740299079281611,89.18284379506973
9,2500.0,$\phi_2$,3.0653163622387587,3.0653163622387587
10,1000.0,$\phi_2$,2.906361164572506,10.710506381008326
11,500.0,$\phi_2$,2.058052869672164,43.840489946408496
12,5000.0,$\phi_3$,2.740299079281611,294.48641405020004
13,2500.0,$\phi_3$,3.0653163622387587,279.0908000679013
14,1000.0,$\phi_3$,2.906361164572506,266.43085388423634
15,500.0,$\phi_3$,2.058052869672164,249.20350642329586
